,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-5.0,-1.0,-5.0,-4.0,-1.0,-10.0,-1.0,0.0,1650912144420028.0,0
1,4.0,-1.0,0.0,-4.0,-4.0,-9.0,-5.0,-2.0,1650912144420028.0,0
2,-2.0,0.0,2.0,-2.0,-5.0,-8.0,-2.0,-2.0,1650912144421060.0,0
3,1.0,1.0,0.0,5.0,3.0,6.0,2.0,0.0,1650912144421060.0,0
4,-1.0,-3.0,-1.0,-2.0,15.0,6.0,1.0,0.0,1650912144435283.0,0
5,0.0,-2.0,0.0,-2.0,1.0,8.0,1.0,1.0,1650912144435283.0,0
6,-3.0,-1.0,1.0,-2.0,-13.0,-24.0,-4.0,0.0,1650912144436281.0,0
7,1.0,0.0,-1.0,-1.0,1.0,3.0,-2.0,-1.0,1650912144436281.0,0
8,1.0,-1.0,-3.0,1.0,7.0,8.0,1.0,0.0,1650912144457805.0,0
9,0.0,-1.0,0.0,5.0,6.0,8.0,3.0,2.0,1650912144457805.0,0
10,-1.0,0.0,-1.0,0.0,11.0,-17.0,0.0,0.0,1650912144458644.0,0
11,0.0,-2.0,0.0,-3.0,-8.0,-1.0,-4.0,-1.0,1650912144458644.0,0
12,1.0,-2.0,-1.0,-2.0,-6.0,2.0,-2.0,-1.0,1650912144480190.0,0
13,-4.0,-2.0,-7.0,-9.0,-15.0,-23.0,-5.0,-4.0,1650912144480190.0,0
14,4.0,-1.0,-1.0,-2.0,-22.0,6.0,-2.0,-2.0,1650912144481018.0,0
15,5.0,0.0,4.0,9.0,27.0,23.0,4.0,2.0,1650912144481018.0,0
16,-10.0,1.0,4.0,13.0,34.0,15.0,7.0,2.0,1650912144494879.0,0
17,1.0,1.0,6.0,1.0,7.0,0.0,2.0,1.0,1650912144494879.0,0
18,-3.0,-2.0,-10.0,-9.0,-17.0,-13.0,-2.0,-1.0,1650912144501631.0,0
19,-3.0,-1.0,-1.0,-9.0,-21.0,-13.0,-4.0,-2.0,1650912144501631.0,0
20,2.0,-4.0,-6.0,-10.0,-26.0,-7.0,-6.0,-1.0,1650912144516976.0,0
21,1.0,3.0,4.0,-1.0,-13.0,4.0,-2.0,-1.0,1650912144516976.0,0
22,-2.0,3.0,0.0,12.0,35.0,1.0,3.0,2.0,1650912144524941.0,0
23,5.0,0.0,3.0,7.0,41.0,22.0,6.0,3.0,1650912144524941.0,0
24,1.0,2.0,5.0,2.0,-1.0,5.0,4.0,2.0,1650912144540295.0,0
25,-2.0,0.0,-4.0,-8.0,-29.0,-16.0,-3.0,-2.0,1650912144540295.0,0
26,-1.0,-3.0,-1.0,-1.0,-10.0,4.0,-4.0,-1.0,1650912144541150.0,0
27,-1.0,1.0,0.0,7.0,31.0,9.0,0.0,-1.0,1650912144541150.0,0
28,2.0,2.0,-2.0,-2.0,-13.0,-10.0,-1.0,-1.0,1650912144562994.0,0
29,-2.0,-3.0,-3.0,-5.0,-15.0,-5.0,0.0,-1.0,1650912144562994.0,0
30,-1.0,-1.0,0.0,-2.0,2.0,3.0,0.0,-1.0,1650912144563853.0,0
31,-2.0,-1.0,0.0,3.0,0.0,-10.0,0.0,0.0,1650912144563853.0,0
32,3.0,0.0,-9.0,-3.0,7.0,3.0,-2.0,-1.0,1650912144576975.0,0
33,-1.0,-2.0,1.0,0.0,0.0,2.0,-1.0,0.0,1650912144576975.0,0
34,1.0,-1.0,-1.0,-4.0,0.0,0.0,-3.0,-1.0,1650912144585014.0,0
35,-3.0,-3.0,0.0,-3.0,-28.0,-6.0,-3.0,-2.0,1650912144585014.0,0
36,3.0,0.0,4.0,5.0,5.0,-3.0,0.0,0.0,1650912144601096.0,0
37,2.0,2.0,2.0,6.0,24.0,8.0,1.0,1.0,1650912144601096.0,0
38,2.0,1.0,-2.0,0.0,13.0,4.0,1.0,-1.0,1650912144601096.0,0
39,-2.0,-2.0,-3.0,-8.0,-23.0,-13.0,-3.0,-1.0,1650912144601096.0,0
40,-1.0,-2.0,2.0,1.0,-5.0,-2.0,-3.0,1.0,1650912144622897.0,0
41,-2.0,-1.0,0.0,1.0,11.0,2.0,2.0,0.0,1650912144622897.0,0
