EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
0.0,-2.0,-1.0,2.0,-10.0,-2.0,-1.0,-3.0,1651024168537898.0
0.0,-1.0,-3.0,-9.0,5.0,-3.0,-3.0,-3.0,1651024168537898.0
-1.0,-2.0,-4.0,3.0,12.0,4.0,-2.0,-1.0,1651024168538896.0
-2.0,-1.0,0.0,3.0,4.0,-3.0,0.0,-2.0,1651024168538896.0
-2.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,1651024168538896.0
-3.0,-2.0,-3.0,0.0,-9.0,-4.0,0.0,0.0,1651024168538896.0
-2.0,-3.0,-5.0,-5.0,-9.0,-2.0,-1.0,-1.0,1651024168539893.0
-1.0,0.0,-1.0,0.0,6.0,-1.0,-1.0,-3.0,1651024168539893.0
-1.0,-3.0,-2.0,0.0,1.0,-1.0,-2.0,-1.0,1651024168550863.0
-1.0,-1.0,-3.0,-1.0,-3.0,-6.0,-2.0,-2.0,1651024168550863.0
-1.0,-1.0,-2.0,-1.0,10.0,7.0,-1.0,-1.0,1651024168559840.0
0.0,-1.0,-2.0,-4.0,-14.0,-4.0,-1.0,1.0,1651024168559840.0
-1.0,1.0,0.0,0.0,4.0,-1.0,-2.0,-1.0,1651024168567824.0
0.0,1.0,3.0,8.0,-1.0,2.0,3.0,-2.0,1651024168567824.0
-1.0,-1.0,-4.0,-1.0,-12.0,-7.0,-2.0,-2.0,1651024168580811.0
-1.0,-1.0,-2.0,-2.0,13.0,4.0,-2.0,-1.0,1651024168580811.0
-2.0,-3.0,-4.0,-10.0,-53.0,-10.0,-1.0,-1.0,1651024168591755.0
0.0,-3.0,-3.0,-1.0,39.0,4.0,-1.0,1.0,1651024168591755.0
-1.0,0.0,4.0,8.0,5.0,-1.0,1.0,0.0,1651024168604727.0
1.0,0.0,2.0,1.0,-15.0,-6.0,1.0,1.0,1651024168604727.0
0.0,0.0,0.0,-2.0,8.0,3.0,0.0,-1.0,1651024168612699.0
-3.0,-1.0,0.0,2.0,-10.0,-1.0,-2.0,0.0,1651024168612699.0
-1.0,-1.0,-1.0,-3.0,-5.0,-5.0,-1.0,0.0,1651024168625756.0
-3.0,-2.0,-2.0,-3.0,0.0,0.0,-2.0,-1.0,1651024168625756.0
0.0,0.0,-1.0,0.0,-2.0,0.0,1.0,-1.0,1651024168666917.0
-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,1651024168666917.0
-1.0,0.0,1.0,2.0,0.0,1.0,-1.0,-1.0,1651024168666917.0
-2.0,0.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,1651024168666917.0
0.0,-1.0,-1.0,3.0,6.0,0.0,-1.0,0.0,1651024168667915.0
0.0,0.0,-1.0,2.0,0.0,1.0,1.0,1.0,1651024168667915.0
-1.0,-1.0,-2.0,-5.0,-12.0,-3.0,-2.0,-1.0,1651024168671909.0
1.0,-1.0,-3.0,-2.0,4.0,0.0,-2.0,-1.0,1651024168671909.0
0.0,-1.0,1.0,1.0,13.0,-1.0,-1.0,1.0,1651024168677888.0
0.0,0.0,0.0,2.0,2.0,2.0,0.0,-2.0,1651024168677888.0
-2.0,-2.0,-1.0,1.0,-3.0,-1.0,-1.0,0.0,1651024168686864.0
0.0,0.0,-1.0,-2.0,-11.0,-3.0,1.0,-1.0,1651024168686864.0
-1.0,1.0,0.0,-2.0,10.0,-1.0,-2.0,-1.0,1651024168692847.0
-1.0,-1.0,1.0,1.0,4.0,2.0,0.0,0.0,1651024168692847.0
1.0,-2.0,-1.0,-1.0,-2.0,-3.0,-2.0,1.0,1651024168709802.0
-2.0,-1.0,-1.0,-5.0,4.0,-2.0,-2.0,-1.0,1651024168709802.0
-2.0,-2.0,-2.0,-2.0,-21.0,-8.0,-2.0,-4.0,1651024168715844.0
0.0,-1.0,-3.0,-3.0,16.0,10.0,2.0,1.0,1651024168715844.0
0.0,1.0,3.0,6.0,4.0,0.0,2.0,-1.0,1651024168738726.0
-1.0,1.0,0.0,4.0,-5.0,-3.0,-1.0,2.0,1651024168738726.0
0.0,-1.0,-1.0,-4.0,-14.0,-1.0,-1.0,0.0,1651024168739722.0
-2.0,0.0,-2.0,-2.0,-3.0,-5.0,-2.0,0.0,1651024168739722.0
0.0,0.0,-1.0,-2.0,2.0,1.0,-2.0,-1.0,1651024168753691.0
0.0,-3.0,-3.0,-6.0,-10.0,0.0,0.0,0.0,1651024168753691.0
-2.0,1.0,0.0,3.0,10.0,0.0,0.0,-1.0,1651024168754698.0
0.0,1.0,1.0,2.0,-14.0,-6.0,0.0,-2.0,1651024168754698.0
-1.0,-2.0,-1.0,-3.0,9.0,3.0,0.0,-1.0,1651024168776651.0
-2.0,-1.0,0.0,4.0,0.0,0.0,-1.0,-1.0,1651024168776651.0
0.0,1.0,0.0,-4.0,-26.0,-4.0,-2.0,1.0,1651024168776651.0
0.0,0.0,-1.0,2.0,27.0,3.0,-3.0,1.0,1651024168776651.0
0.0,-2.0,-1.0,2.0,-2.0,1.0,-1.0,-1.0,1651024168798764.0
0.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1651024168798764.0
-2.0,-2.0,-3.0,-2.0,-5.0,-2.0,0.0,-1.0,1651024168799705.0
0.0,-1.0,0.0,-2.0,-10.0,-2.0,0.0,0.0,1651024168799705.0
0.0,2.0,-1.0,0.0,-2.0,-4.0,0.0,0.0,1651024168813669.0
-2.0,-1.0,1.0,2.0,-3.0,-2.0,-1.0,0.0,1651024168813669.0
-1.0,0.0,1.0,4.0,16.0,9.0,1.0,1.0,1651024168814688.0
-1.0,-3.0,0.0,-2.0,-9.0,-3.0,-1.0,-2.0,1651024168814688.0
2.0,-1.0,-1.0,-3.0,4.0,0.0,0.0,0.0,1651024168836762.0
-1.0,0.0,-1.0,-3.0,-14.0,-3.0,-1.0,-1.0,1651024168836762.0
-1.0,-2.0,-2.0,-3.0,-7.0,-4.0,0.0,-1.0,1651024168836762.0
-1.0,-3.0,-2.0,4.0,15.0,1.0,-1.0,-1.0,1651024168836762.0
0.0,0.0,0.0,-1.0,-14.0,1.0,0.0,2.0,1651024168858767.0
0.0,1.0,1.0,4.0,8.0,0.0,-1.0,-1.0,1651024168858767.0
0.0,1.0,1.0,-2.0,1.0,2.0,1.0,-2.0,1651024168859701.0
-1.0,0.0,-2.0,-4.0,-6.0,-2.0,0.0,0.0,1651024168859701.0
-3.0,-2.0,-2.0,1.0,0.0,-3.0,-1.0,-2.0,1651024168873663.0
1.0,-2.0,-2.0,-2.0,1.0,-2.0,-1.0,0.0,1651024168873663.0
1.0,0.0,1.0,3.0,17.0,6.0,0.0,0.0,1651024168880709.0
0.0,-3.0,-1.0,-1.0,-15.0,-5.0,0.0,-1.0,1651024168880709.0
