,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,0.0,0.0,0.0,3.0,8.0,6.0,1.0,0.0,1651069509211655.0,0
1,0.0,-1.0,-2.0,0.0,4.0,0.0,0.0,0.0,1651069509211655.0,0
2,-1.0,-1.0,-1.0,-1.0,0.0,3.0,0.0,0.0,1651069509224687.0,0
3,-1.0,-1.0,1.0,-1.0,-3.0,-3.0,-1.0,-1.0,1651069509224687.0,0
4,1.0,-1.0,0.0,-2.0,-6.0,-6.0,-1.0,0.0,1651069509231725.0,0
5,-1.0,-1.0,0.0,1.0,1.0,-1.0,-2.0,-3.0,1651069509231725.0,0
6,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1651069509247678.0,0
7,1.0,1.0,0.0,0.0,1.0,6.0,0.0,-1.0,1651069509247678.0,0
8,0.0,-1.0,-2.0,0.0,2.0,-4.0,-1.0,0.0,1651069509249699.0,0
9,-1.0,0.0,0.0,-1.0,2.0,2.0,-1.0,0.0,1651069509249699.0,0
10,0.0,2.0,0.0,-2.0,-2.0,-1.0,0.0,-2.0,1651069509270630.0,0
11,-1.0,0.0,1.0,-4.0,-6.0,-3.0,-3.0,-1.0,1651069509270630.0,0
12,-2.0,0.0,-1.0,1.0,2.0,2.0,1.0,0.0,1651069509271815.0,0
13,0.0,-1.0,-1.0,-1.0,-2.0,-3.0,-2.0,0.0,1651069509271815.0,0
14,1.0,-1.0,-3.0,0.0,-3.0,-1.0,-2.0,-2.0,1651069509283848.0,0
15,-1.0,0.0,-1.0,2.0,5.0,2.0,1.0,-1.0,1651069509283848.0,0
16,-1.0,-2.0,-2.0,-3.0,-15.0,-4.0,-3.0,-3.0,1651069509293343.0,0
17,-2.0,-1.0,0.0,3.0,19.0,10.0,3.0,1.0,1651069509293343.0,0
18,-1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,0.0,1651069509307553.0,0
19,0.0,-1.0,0.0,0.0,-1.0,-5.0,-2.0,-1.0,1651069509307553.0,0
20,-2.0,-1.0,0.0,-3.0,-8.0,-6.0,1.0,-1.0,1651069509309510.0,0
21,1.0,0.0,-1.0,1.0,2.0,5.0,1.0,1.0,1651069509309510.0,0
22,-2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,1651069509330452.0,0
23,-1.0,-3.0,-1.0,0.0,2.0,1.0,-3.0,-1.0,1651069509330452.0,0
24,-1.0,-1.0,-2.0,-1.0,-4.0,-3.0,0.0,1.0,1651069509331435.0,0
25,0.0,-2.0,0.0,-2.0,-5.0,-4.0,-2.0,-1.0,1651069509331435.0,0
26,-2.0,0.0,0.0,-1.0,4.0,5.0,4.0,0.0,1651069509343549.0,0
27,-1.0,1.0,-1.0,0.0,-4.0,-2.0,1.0,0.0,1651069509343549.0,0
28,-1.0,1.0,-2.0,0.0,1.0,1.0,-3.0,1.0,1651069509352448.0,0
29,1.0,0.0,0.0,-2.0,-3.0,-3.0,-3.0,-1.0,1651069509352448.0,0
30,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,1651069509367473.0,0
31,-2.0,0.0,-2.0,-1.0,-8.0,-4.0,0.0,-1.0,1651069509367473.0,0
32,0.0,0.0,1.0,2.0,6.0,5.0,-1.0,0.0,1651069509369401.0,0
