,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,0.0,0.0,-2.0,-5.0,-9.0,-13.0,-4.0,0.0,1650914758940850.0,0
1,-1.0,-1.0,-4.0,-1.0,3.0,5.0,1.0,1.0,1650914758940850.0,0
2,3.0,1.0,7.0,2.0,0.0,-1.0,2.0,0.0,1650914758948671.0,0
3,2.0,0.0,-1.0,1.0,2.0,4.0,2.0,0.0,1650914758948671.0,0
4,-3.0,0.0,-2.0,-3.0,-3.0,-1.0,-3.0,-2.0,1650914758964542.0,0
5,-1.0,-2.0,-3.0,-3.0,-8.0,-11.0,-1.0,1.0,1650914758964542.0,0
6,1.0,-2.0,-2.0,-2.0,2.0,5.0,2.0,1.0,1650914758964542.0,0
7,0.0,0.0,4.0,6.0,7.0,5.0,2.0,1.0,1650914758964542.0,0
8,0.0,0.0,0.0,1.0,0.0,-3.0,-3.0,0.0,1650914758987524.0,0
9,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1650914758987524.0,0
10,0.0,-2.0,-2.0,-2.0,-3.0,-10.0,1.0,-1.0,1650914758987524.0,0
11,-3.0,0.0,-1.0,-3.0,-5.0,0.0,-1.0,0.0,1650914758987524.0,0
12,0.0,-1.0,0.0,-2.0,-3.0,3.0,-1.0,1.0,1650914759009991.0,0
13,0.0,2.0,1.0,0.0,6.0,5.0,3.0,0.0,1650914759009991.0,0
14,-1.0,-1.0,-2.0,-1.0,-4.0,-2.0,-1.0,2.0,1650914759009991.0,0
15,-2.0,1.0,-6.0,-3.0,-3.0,0.0,-3.0,0.0,1650914759009991.0,0
16,-2.0,0.0,2.0,-1.0,-5.0,-12.0,-1.0,-2.0,1650914759024206.0,0
17,3.0,-1.0,3.0,2.0,5.0,10.0,0.0,0.0,1650914759024206.0,0
18,0.0,-2.0,-3.0,-1.0,-3.0,4.0,1.0,1.0,1650914759024206.0,0
19,1.0,0.0,0.0,2.0,1.0,-3.0,-2.0,-1.0,1650914759024206.0,0
20,2.0,0.0,-3.0,1.0,-2.0,0.0,-2.0,1.0,1650914759047942.0,0
