,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-3.0,-2.0,0.0,1.0,-2.0,-2.0,-3.0,-1.0,1650914812988185.0,0
1,1.0,-2.0,-4.0,-3.0,-5.0,-5.0,0.0,2.0,1650914812988185.0,0
2,4.0,1.0,-1.0,0.0,7.0,8.0,-2.0,0.0,1650914813009994.0,0
3,-1.0,1.0,1.0,1.0,7.0,10.0,2.0,0.0,1650914813009994.0,0
4,2.0,2.0,1.0,1.0,-5.0,-6.0,-2.0,-1.0,1650914813011029.0,0
5,1.0,2.0,0.0,-1.0,-5.0,-7.0,-2.0,-1.0,1650914813011029.0,0
6,-3.0,-3.0,-7.0,-8.0,-6.0,-4.0,0.0,-3.0,1650914813024118.0,0
7,-2.0,-1.0,2.0,0.0,0.0,6.0,1.0,-1.0,1650914813024118.0,0
8,-1.0,1.0,-3.0,-4.0,-3.0,-2.0,0.0,0.0,1650914813032096.0,0
9,2.0,0.0,-1.0,2.0,7.0,0.0,-1.0,0.0,1650914813032096.0,0
10,-1.0,-1.0,-3.0,-1.0,1.0,1.0,-1.0,-1.0,1650914813046979.0,0
11,-2.0,-2.0,-4.0,-2.0,-3.0,-7.0,-3.0,-3.0,1650914813046979.0,0
12,1.0,0.0,3.0,-2.0,-3.0,-2.0,1.0,1.0,1650914813047846.0,0
13,-3.0,-2.0,3.0,1.0,0.0,3.0,0.0,0.0,1650914813047846.0,0
14,0.0,-1.0,0.0,0.0,6.0,3.0,0.0,1.0,1650914813069918.0,0
15,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,-2.0,1650914813069918.0,0
16,-1.0,0.0,-1.0,-3.0,-4.0,-7.0,-1.0,-1.0,1650914813070753.0,0
17,4.0,1.0,-1.0,-1.0,-4.0,-3.0,-1.0,2.0,1650914813070753.0,0
18,-7.0,0.0,-3.0,-3.0,-8.0,-3.0,1.0,-2.0,1650914813083909.0,0
19,-1.0,-3.0,2.0,3.0,3.0,1.0,-2.0,2.0,1650914813083909.0,0
20,1.0,0.0,3.0,3.0,3.0,4.0,0.0,-1.0,1650914813091129.0,0
21,2.0,2.0,-2.0,-1.0,4.0,7.0,1.0,2.0,1650914813091129.0,0
22,-1.0,-2.0,-2.0,-4.0,-7.0,-6.0,-3.0,-3.0,1650914813113938.0,0
23,-2.0,0.0,-2.0,-2.0,-7.0,-13.0,-2.0,-3.0,1650914813113938.0,0
24,-2.0,-2.0,-1.0,0.0,-2.0,5.0,-1.0,2.0,1650914813115932.0,0
25,0.0,-1.0,4.0,7.0,4.0,5.0,0.0,-1.0,1650914813115932.0,0
26,0.0,1.0,6.0,2.0,0.0,2.0,-1.0,0.0,1650914813129087.0,0
27,0.0,0.0,-1.0,-1.0,-8.0,-7.0,-4.0,-3.0,1650914813129087.0,0
28,0.0,-1.0,-2.0,-4.0,0.0,-3.0,0.0,-2.0,1650914813131115.0,0
29,2.0,0.0,-1.0,1.0,4.0,6.0,2.0,-1.0,1650914813131115.0,0
30,-6.0,-1.0,-1.0,2.0,-1.0,0.0,0.0,2.0,1650914813152879.0,0
31,1.0,1.0,2.0,-1.0,4.0,0.0,-2.0,1.0,1650914813152879.0,0
32,-2.0,-1.0,-3.0,-1.0,-4.0,-6.0,-3.0,-2.0,1650914813153880.0,0
33,-4.0,-2.0,3.0,0.0,-2.0,2.0,1.0,0.0,1650914813153880.0,0
34,5.0,2.0,0.0,2.0,4.0,7.0,1.0,3.0,1650914813165948.0,0
35,3.0,1.0,2.0,2.0,-2.0,2.0,2.0,2.0,1650914813165948.0,0
36,1.0,-1.0,-6.0,-3.0,1.0,-3.0,-2.0,-2.0,1650914813175572.0,0
37,-2.0,-2.0,-5.0,-8.0,-9.0,-14.0,-4.0,-3.0,1650914813175572.0,0
38,2.0,0.0,2.0,4.0,2.0,-5.0,-2.0,-1.0,1650914813188991.0,0
39,-1.0,-1.0,-1.0,-1.0,-3.0,8.0,1.0,1.0,1650914813188991.0,0
40,0.0,-1.0,0.0,2.0,4.0,8.0,1.0,2.0,1650914813190855.0,0
41,-3.0,0.0,1.0,2.0,4.0,3.0,2.0,-1.0,1650914813190855.0,0
42,1.0,1.0,-1.0,-2.0,-4.0,-5.0,-3.0,0.0,1650914813211986.0,0
43,1.0,-1.0,2.0,2.0,-3.0,-3.0,2.0,-1.0,1650914813211986.0,0
44,0.0,1.0,5.0,4.0,6.0,2.0,2.0,2.0,1650914813212985.0,0
45,-2.0,-3.0,0.0,-2.0,-2.0,-1.0,-4.0,-3.0,1650914813212985.0,0
46,-3.0,-1.0,-4.0,-5.0,-6.0,-6.0,-2.0,-2.0,1650914813224993.0,0
47,-2.0,-3.0,-5.0,-5.0,-11.0,-8.0,-3.0,-2.0,1650914813224993.0,0
48,-3.0,0.0,-1.0,1.0,7.0,9.0,0.0,-3.0,1650914813233968.0,0
49,-1.0,0.0,5.0,7.0,6.0,0.0,0.0,2.0,1650914813233968.0,0
50,4.0,-2.0,-5.0,0.0,-1.0,-1.0,0.0,0.0,1650914813248887.0,0
51,-5.0,0.0,3.0,4.0,5.0,6.0,2.0,-1.0,1650914813248887.0,0
52,-3.0,-1.0,-1.0,-2.0,-5.0,-3.0,1.0,1.0,1650914813250882.0,0
53,4.0,-1.0,-12.0,-8.0,-3.0,-4.0,0.0,-1.0,1650914813250882.0,0
54,1.0,0.0,6.0,1.0,-1.0,2.0,0.0,-1.0,1650914813271998.0,0
55,2.0,1.0,0.0,1.0,-2.0,-6.0,-1.0,-2.0,1650914813271998.0,0
56,-2.0,-1.0,-3.0,-5.0,-5.0,-9.0,-5.0,-2.0,1650914813273009.0,0
57,2.0,-2.0,-2.0,-1.0,-6.0,-5.0,0.0,4.0,1650914813273009.0,0
58,-8.0,0.0,-1.0,2.0,0.0,4.0,0.0,-2.0,1650914813285451.0,0
59,3.0,-1.0,1.0,5.0,11.0,11.0,5.0,1.0,1650914813285451.0,0
60,1.0,-1.0,3.0,5.0,7.0,6.0,1.0,0.0,1650914813294608.0,0
61,0.0,1.0,1.0,0.0,-3.0,0.0,2.0,0.0,1650914813294608.0,0
62,-1.0,-3.0,-6.0,-6.0,-6.0,-12.0,-2.0,-3.0,1650914813309471.0,0
63,-1.0,-2.0,0.0,-3.0,-2.0,1.0,-3.0,-2.0,1650914813309471.0,0
64,1.0,-2.0,1.0,0.0,-8.0,-10.0,-3.0,-2.0,1650914813310337.0,0
65,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,-1.0,1650914813310337.0,0
66,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1650914813331765.0,0
67,-2.0,-1.0,1.0,0.0,6.0,0.0,0.0,-3.0,1650914813331765.0,0
68,2.0,-1.0,-1.0,1.0,0.0,3.0,2.0,0.0,1650914813333636.0,0
69,1.0,1.0,-1.0,1.0,3.0,0.0,2.0,1.0,1650914813333636.0,0
70,-3.0,-1.0,-1.0,-4.0,-3.0,-2.0,-4.0,-1.0,1650914813354786.0,0
71,-3.0,-1.0,-4.0,-6.0,-7.0,-1.0,-1.0,-6.0,1650914813354786.0,0
72,1.0,-3.0,-2.0,2.0,4.0,4.0,3.0,4.0,1650914813356185.0,0
73,-1.0,2.0,2.0,0.0,7.0,3.0,1.0,-2.0,1650914813356185.0,0
74,0.0,-1.0,-3.0,-5.0,-5.0,-6.0,-3.0,-3.0,1650914813369173.0,0
75,-1.0,-2.0,-1.0,-5.0,-10.0,-13.0,-6.0,-2.0,1650914813369173.0,0
76,-3.0,-2.0,0.0,-1.0,-4.0,-1.0,-2.0,0.0,1650914813371148.0,0
77,0.0,1.0,1.0,5.0,7.0,16.0,5.0,0.0,1650914813371148.0,0
78,1.0,-1.0,4.0,4.0,13.0,7.0,2.0,2.0,1650914813392058.0,0
79,1.0,1.0,-5.0,-3.0,0.0,2.0,0.0,2.0,1650914813392058.0,0
80,-2.0,-1.0,1.0,-2.0,-5.0,-6.0,-3.0,-2.0,1650914813393056.0,0
81,0.0,-2.0,-1.0,-3.0,-12.0,-12.0,-4.0,-2.0,1650914813393056.0,0
82,-4.0,0.0,-1.0,0.0,-3.0,-3.0,-1.0,-2.0,1650914813414516.0,0
83,-2.0,-2.0,0.0,2.0,-1.0,0.0,0.0,0.0,1650914813414516.0,0
84,-1.0,1.0,-5.0,-4.0,2.0,2.0,-2.0,-1.0,1650914813415514.0,0
85,-3.0,-1.0,-1.0,0.0,6.0,3.0,-1.0,-1.0,1650914813415514.0,0
86,2.0,0.0,-2.0,1.0,-3.0,0.0,0.0,-1.0,1650914813429476.0,0
