EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1651068760427358.0
-1.0,0.0,3.0,1.0,3.0,-1.0,-1.0,-1.0,1651068760427358.0
-1.0,2.0,2.0,-2.0,-7.0,-4.0,0.0,0.0,1651068760449324.0
-1.0,-1.0,-4.0,-3.0,-2.0,0.0,1.0,-2.0,1651068760449324.0
-1.0,-1.0,-3.0,-3.0,-2.0,-1.0,-1.0,-1.0,1651068760449324.0
2.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1651068760449324.0
-1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,-2.0,1651068760464286.0
0.0,0.0,0.0,-2.0,-3.0,-1.0,-1.0,0.0,1651068760464286.0
-1.0,0.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,1651068760464286.0
-2.0,0.0,-2.0,0.0,-1.0,-2.0,-1.0,0.0,1651068760464286.0
-1.0,2.0,4.0,2.0,4.0,1.0,-1.0,-3.0,1651068760486575.0
-1.0,0.0,-4.0,-3.0,-4.0,0.0,0.0,0.0,1651068760486575.0
0.0,-2.0,2.0,1.0,3.0,3.0,0.0,-2.0,1651068760487532.0
-2.0,1.0,2.0,0.0,-2.0,-1.0,-2.0,-1.0,1651068760487532.0
0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1651068760508564.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1651068760508564.0
-1.0,0.0,-3.0,-2.0,-3.0,0.0,0.0,-1.0,1651068760509493.0
0.0,-2.0,0.0,-2.0,-1.0,-1.0,1.0,0.0,1651068760509493.0
0.0,-1.0,-2.0,-1.0,-2.0,-2.0,0.0,-2.0,1651068760523612.0
0.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1651068760523612.0
-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1651068760531595.0
0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-2.0,1651068760531595.0
2.0,-2.0,-3.0,-1.0,-1.0,0.0,-1.0,-1.0,1651068760546616.0
-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1651068760546616.0
