,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,-1.0,-1.0,1650849750128130.0,0
1,-2.0,0.0,0.0,1.0,-2.0,-3.0,-2.0,0.0,1650849750128130.0,0
2,-1.0,-1.0,2.0,2.0,10.0,11.0,4.0,1.0,1650849750128130.0,0
3,0.0,-1.0,-3.0,-1.0,1.0,-2.0,-1.0,0.0,1650849750128130.0,0
4,0.0,-1.0,-1.0,-2.0,-4.0,-2.0,-1.0,-2.0,1650849750150089.0,0
5,0.0,-1.0,-2.0,-4.0,-4.0,-1.0,-3.0,0.0,1650849750150089.0,0
6,1.0,0.0,-2.0,0.0,-8.0,-6.0,-2.0,-1.0,1650849750151086.0,0
7,0.0,-2.0,0.0,0.0,-4.0,-5.0,-1.0,0.0,1650849750151086.0,0
8,0.0,-1.0,2.0,1.0,13.0,10.0,3.0,1.0,1650849750164052.0,0
9,-3.0,0.0,-1.0,0.0,-5.0,-3.0,-1.0,-1.0,1650849750164052.0,0
10,0.0,0.0,-2.0,-2.0,-6.0,-1.0,-2.0,1.0,1650849750172057.0,0
11,-3.0,-2.0,-2.0,-3.0,-8.0,-19.0,-3.0,-1.0,1650849750172057.0,0
12,1.0,1.0,0.0,3.0,1.0,14.0,1.0,1.0,1650849750188016.0,0
13,1.0,1.0,0.0,2.0,8.0,2.0,1.0,1.0,1650849750188016.0,0
14,-1.0,-1.0,0.0,0.0,3.0,3.0,-2.0,-1.0,1650849750188016.0,0
15,-3.0,-3.0,1.0,1.0,1.0,-2.0,0.0,-1.0,1650849750188016.0,0
16,-2.0,-2.0,-2.0,-5.0,-3.0,-11.0,-3.0,-1.0,1650849750209996.0,0
17,-1.0,0.0,-1.0,0.0,-7.0,0.0,-2.0,0.0,1650849750209996.0,0
18,-1.0,2.0,1.0,-2.0,-1.0,-3.0,0.0,-1.0,1650849750210926.0,0
19,2.0,0.0,1.0,-2.0,2.0,4.0,0.0,-1.0,1650849750210926.0,0
20,1.0,-2.0,0.0,-2.0,-5.0,2.0,2.0,-1.0,1650849750232895.0,0
21,1.0,0.0,0.0,-1.0,5.0,4.0,1.0,0.0,1650849750232895.0,0
22,0.0,0.0,-1.0,0.0,-3.0,-3.0,-3.0,1.0,1650849750233865.0,0
23,0.0,-1.0,-2.0,1.0,2.0,1.0,-1.0,1.0,1650849750233865.0,0
24,-3.0,-1.0,-1.0,0.0,4.0,-5.0,-2.0,-1.0,1650849750247947.0,0
25,-1.0,-2.0,-1.0,-3.0,-4.0,-1.0,-1.0,-1.0,1650849750247947.0,0
26,-1.0,0.0,0.0,-1.0,-3.0,-5.0,-1.0,0.0,1650849750248915.0,0
27,0.0,-1.0,1.0,0.0,5.0,8.0,1.0,0.0,1650849750248915.0,0
28,0.0,-1.0,1.0,0.0,0.0,-5.0,-2.0,-1.0,1650849750268943.0,0
29,-1.0,-2.0,1.0,-3.0,-8.0,-6.0,0.0,-2.0,1650849750268943.0,0
30,0.0,-2.0,0.0,-1.0,-1.0,1.0,3.0,0.0,1650849750276923.0,0
31,1.0,0.0,2.0,2.0,5.0,-8.0,-1.0,1.0,1650849750276923.0,0
32,-4.0,0.0,-1.0,-2.0,1.0,9.0,0.0,0.0,1650849750292892.0,0
33,-1.0,0.0,-1.0,0.0,2.0,-2.0,0.0,0.0,1650849750292892.0,0
34,0.0,-1.0,-3.0,-3.0,-6.0,-5.0,-3.0,-2.0,1650849750293876.0,0
35,-1.0,-1.0,-2.0,-1.0,-3.0,-3.0,-1.0,-3.0,1650849750293876.0,0
36,0.0,0.0,-1.0,1.0,-1.0,-6.0,-2.0,-1.0,1650849750314934.0,0
37,-1.0,-3.0,-1.0,1.0,4.0,0.0,-1.0,0.0,1650849750314934.0,0
