EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-1.0,-1.0,-3.0,-2.0,-3.0,-3.0,-6.0,-3.0,1650914480633477.0
1.0,1.0,3.0,3.0,5.0,8.0,3.0,-1.0,1650914480633477.0
1.0,1.0,0.0,3.0,17.0,11.0,5.0,2.0,1650914480634477.0
0.0,1.0,1.0,-1.0,-3.0,-4.0,-4.0,0.0,1650914480634477.0
3.0,-2.0,-3.0,-5.0,-21.0,-18.0,-5.0,-3.0,1650914480647786.0
-8.0,-3.0,-4.0,-4.0,-6.0,-14.0,-2.0,-1.0,1650914480647786.0
0.0,-1.0,1.0,3.0,4.0,17.0,2.0,0.0,1650914480655832.0
0.0,0.0,0.0,1.0,6.0,10.0,3.0,1.0,1650914480655832.0
-1.0,-1.0,-1.0,-1.0,-7.0,-27.0,-6.0,-3.0,1650914480671988.0
1.0,-2.0,-3.0,-2.0,-8.0,-5.0,-4.0,-4.0,1650914480671988.0
-2.0,-2.0,0.0,-3.0,-3.0,12.0,2.0,0.0,1650914480671988.0
-2.0,0.0,0.0,3.0,12.0,11.0,5.0,1.0,1650914480671988.0
1.0,4.0,3.0,2.0,7.0,10.0,2.0,2.0,1650914480693165.0
0.0,-1.0,-2.0,-2.0,-12.0,-14.0,0.0,-1.0,1650914480693165.0
-3.0,-4.0,-3.0,1.0,10.0,4.0,-1.0,-1.0,1650914480694165.0
3.0,-1.0,-1.0,4.0,15.0,4.0,0.0,1.0,1650914480694165.0
-2.0,-1.0,0.0,-2.0,-8.0,2.0,4.0,0.0,1650914480708547.0
-2.0,1.0,-2.0,-3.0,-12.0,-12.0,-3.0,0.0,1650914480708547.0
3.0,-2.0,-2.0,-5.0,-16.0,-21.0,-3.0,-4.0,1650914480716463.0
-2.0,-1.0,-2.0,-2.0,7.0,9.0,-1.0,1.0,1650914480716463.0
1.0,-1.0,-1.0,1.0,0.0,3.0,1.0,-1.0,1650914480731182.0
2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1650914480731182.0
0.0,-1.0,-1.0,-1.0,-3.0,-2.0,-2.0,-1.0,1650914480731182.0
0.0,0.0,-2.0,-2.0,-4.0,-13.0,-2.0,-1.0,1650914480731182.0
-6.0,-1.0,0.0,-1.0,-5.0,-5.0,-4.0,-2.0,1650914480753779.0
-1.0,-1.0,-1.0,0.0,8.0,30.0,4.0,0.0,1650914480753779.0
5.0,2.0,2.0,3.0,12.0,-5.0,0.0,1.0,1650914480753779.0
-2.0,0.0,-3.0,-2.0,-12.0,-5.0,-5.0,0.0,1650914480753779.0
-3.0,-2.0,-2.0,-7.0,-11.0,-25.0,-2.0,-2.0,1650914480777303.0
2.0,-2.0,1.0,1.0,2.0,22.0,1.0,1.0,1650914480777303.0
-2.0,1.0,4.0,8.0,19.0,15.0,4.0,3.0,1650914480777303.0
0.0,-2.0,0.0,3.0,3.0,-5.0,4.0,0.0,1650914480777303.0
-1.0,-2.0,-2.0,0.0,0.0,-1.0,-4.0,-1.0,1650914480791123.0
-2.0,-1.0,-3.0,-1.0,-2.0,-1.0,-2.0,-1.0,1650914480791123.0
-1.0,0.0,-1.0,-2.0,-8.0,2.0,1.0,0.0,1650914480791961.0
0.0,0.0,-1.0,1.0,-5.0,-14.0,-1.0,-1.0,1650914480791961.0
-2.0,-1.0,-1.0,-2.0,-6.0,3.0,-2.0,-1.0,1650914480814025.0
-1.0,1.0,-3.0,-5.0,-4.0,-16.0,-5.0,-1.0,1650914480814025.0
0.0,0.0,-7.0,-4.0,-13.0,-5.0,-4.0,0.0,1650914480814025.0
-3.0,1.0,3.0,1.0,10.0,15.0,2.0,1.0,1650914480814025.0
1.0,0.0,1.0,4.0,2.0,-2.0,2.0,2.0,1650914480836590.0
1.0,-2.0,1.0,3.0,12.0,-14.0,-3.0,2.0,1650914480836590.0
-4.0,-2.0,-2.0,0.0,-4.0,8.0,1.0,0.0,1650914480837494.0
-3.0,0.0,-2.0,-6.0,-13.0,-3.0,1.0,-3.0,1650914480837494.0
7.0,-1.0,-2.0,-2.0,0.0,2.0,0.0,-1.0,1650914480850748.0
-6.0,-1.0,-2.0,-2.0,-18.0,-9.0,-1.0,-2.0,1650914480850748.0
0.0,0.0,2.0,3.0,10.0,0.0,-1.0,2.0,1650914480851747.0
-1.0,0.0,2.0,7.0,30.0,29.0,4.0,-1.0,1650914480851747.0
0.0,2.0,3.0,5.0,12.0,22.0,4.0,3.0,1650914480873687.0
3.0,1.0,-1.0,-4.0,-10.0,-21.0,-2.0,-2.0,1650914480873687.0
-1.0,-3.0,-1.0,-6.0,-20.0,-23.0,-7.0,-4.0,1650914480873687.0
-2.0,-3.0,-2.0,-5.0,-14.0,-11.0,-5.0,-3.0,1650914480873687.0
-1.0,-2.0,2.0,2.0,6.0,1.0,-1.0,-1.0,1650914480896625.0
0.0,-2.0,0.0,3.0,13.0,16.0,3.0,0.0,1650914480896625.0
-1.0,-1.0,1.0,1.0,1.0,11.0,2.0,-1.0,1650914480897623.0
1.0,-1.0,-4.0,-2.0,-2.0,-8.0,-7.0,-2.0,1650914480897623.0
-2.0,1.0,0.0,0.0,-7.0,-25.0,-6.0,-2.0,1650914480910599.0
0.0,1.0,0.0,-1.0,0.0,7.0,0.0,0.0,1650914480910599.0
0.0,-1.0,-3.0,0.0,6.0,15.0,5.0,-1.0,1650914480911598.0
0.0,0.0,3.0,1.0,-2.0,0.0,2.0,2.0,1650914480911598.0
-4.0,0.0,-2.0,-5.0,-18.0,-13.0,-2.0,-2.0,1650914480932801.0
5.0,-3.0,-2.0,-4.0,-6.0,-14.0,-7.0,-1.0,1650914480932801.0
0.0,1.0,0.0,2.0,18.0,5.0,-1.0,-1.0,1650914480933757.0
-4.0,0.0,1.0,3.0,6.0,7.0,6.0,2.0,1650914480933757.0
-5.0,0.0,4.0,3.0,13.0,39.0,7.0,2.0,1650914480956695.0
3.0,2.0,1.0,1.0,-3.0,-7.0,0.0,-2.0,1650914480956695.0
