,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-3.0,-1.0,1.0,4.0,0.0,-3.0,-2.0,2.0,1650821302133856.0,0
1,-1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1650821302133856.0,0
2,1.0,-3.0,-2.0,-7.0,-4.0,-2.0,0.0,1.0,1650821302135785.0,0
3,-2.0,0.0,2.0,3.0,-2.0,-3.0,-2.0,-1.0,1650821302135785.0,0
4,-1.0,1.0,-1.0,-3.0,1.0,1.0,-2.0,2.0,1650821302136783.0,0
5,1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1650821302136783.0,0
6,0.0,1.0,-1.0,-1.0,4.0,8.0,2.0,-1.0,1650821302137780.0,0
7,-1.0,-2.0,0.0,1.0,5.0,-1.0,0.0,1.0,1650821302137780.0,0
8,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-2.0,1650821302138777.0,0
9,1.0,-1.0,-2.0,-6.0,-6.0,-7.0,-2.0,-1.0,1650821302138777.0,0
10,0.0,0.0,1.0,4.0,7.0,2.0,0.0,-3.0,1650821302152740.0,0
11,-1.0,1.0,-2.0,-1.0,-3.0,-6.0,-2.0,-2.0,1650821302152740.0,0
12,0.0,-1.0,-2.0,-4.0,-7.0,-1.0,-1.0,-4.0,1650821302162463.0,0
13,-2.0,0.0,-1.0,-3.0,-6.0,5.0,0.0,1.0,1650821302162463.0,0
14,2.0,0.0,-2.0,-3.0,-3.0,-6.0,2.0,1.0,1650821302168469.0,0
15,1.0,0.0,2.0,7.0,7.0,5.0,1.0,2.0,1650821302168469.0,0
16,0.0,-1.0,2.0,2.0,3.0,-2.0,-2.0,-1.0,1650821302183665.0,0
17,1.0,0.0,0.0,-2.0,0.0,3.0,0.0,-1.0,1650821302183665.0,0
18,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,1650821302198586.0,0
19,-2.0,0.0,3.0,0.0,-4.0,-3.0,-1.0,-2.0,1650821302198586.0,0
20,1.0,-1.0,-2.0,-4.0,-4.0,-5.0,0.0,-1.0,1650821302199555.0,0
21,1.0,-1.0,0.0,1.0,2.0,2.0,1.0,0.0,1650821302199555.0,0
22,0.0,-1.0,-2.0,-2.0,-1.0,-3.0,-4.0,-1.0,1650821302246104.0,0
23,1.0,0.0,-5.0,-3.0,0.0,-4.0,-2.0,-2.0,1650821302246104.0,0
24,-1.0,-1.0,8.0,8.0,2.0,6.0,0.0,-1.0,1650821302246104.0,0
25,-1.0,-1.0,0.0,0.0,4.0,6.0,0.0,-1.0,1650821302246104.0,0
26,1.0,0.0,0.0,-3.0,-4.0,-5.0,0.0,1.0,1650821302247104.0,0
27,-2.0,-1.0,-2.0,-3.0,-4.0,-5.0,-2.0,-2.0,1650821302247104.0,0
28,-3.0,0.0,-1.0,-3.0,-3.0,-5.0,-2.0,-1.0,1650821302250095.0,0
29,-2.0,-1.0,-1.0,1.0,-4.0,-6.0,-3.0,0.0,1650821302250095.0,0
30,-2.0,1.0,-1.0,0.0,4.0,3.0,0.0,-1.0,1650821302258094.0,0
31,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1650821302258094.0,0
32,1.0,0.0,-2.0,-3.0,-3.0,-2.0,-2.0,-1.0,1650821302267050.0,0
33,-1.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,1650821302267050.0,0
34,0.0,1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,1650821302273428.0,0
35,0.0,-1.0,-1.0,-1.0,-8.0,-6.0,-1.0,-2.0,1650821302273428.0,0
36,-1.0,-2.0,-2.0,2.0,3.0,-2.0,2.0,-1.0,1650821302287867.0,0
37,1.0,-1.0,2.0,3.0,8.0,4.0,-1.0,-1.0,1650821302287867.0,0
38,0.0,-2.0,-3.0,0.0,-5.0,-11.0,-3.0,0.0,1650821302295846.0,0
39,-1.0,1.0,5.0,4.0,3.0,10.0,2.0,2.0,1650821302295846.0,0
40,1.0,0.0,-4.0,-6.0,-1.0,8.0,3.0,-1.0,1650821302318906.0,0
41,-1.0,-1.0,-2.0,-4.0,-5.0,-7.0,-2.0,-1.0,1650821302318906.0,0
42,-1.0,0.0,-1.0,0.0,5.0,3.0,1.0,0.0,1650821302319842.0,0
43,0.0,-1.0,2.0,1.0,0.0,-4.0,-2.0,-1.0,1650821302319842.0,0
44,-1.0,0.0,0.0,0.0,-5.0,-7.0,-3.0,-1.0,1650821302333866.0,0
45,-2.0,-1.0,-3.0,-3.0,-2.0,-4.0,-3.0,0.0,1650821302333866.0,0
46,-3.0,0.0,1.0,0.0,1.0,3.0,0.0,-1.0,1650821302334797.0,0
47,-2.0,-1.0,-2.0,-1.0,3.0,4.0,-1.0,0.0,1650821302334797.0,0
48,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1650821302356604.0,0
49,0.0,-1.0,2.0,0.0,0.0,-2.0,2.0,-1.0,1650821302356604.0,0
50,-1.0,-2.0,-2.0,-2.0,-3.0,1.0,0.0,0.0,1650821302356604.0,0
51,-1.0,0.0,1.0,1.0,-1.0,-1.0,2.0,0.0,1650821302356604.0,0
52,-1.0,-1.0,-1.0,0.0,-3.0,-10.0,-2.0,-1.0,1650821302378855.0,0
53,0.0,-1.0,0.0,-1.0,3.0,8.0,0.0,-1.0,1650821302378855.0,0
54,-1.0,-1.0,0.0,-1.0,1.0,8.0,1.0,0.0,1650821302379825.0,0
55,1.0,-1.0,-5.0,-5.0,1.0,-2.0,1.0,0.0,1650821302379825.0,0
56,-2.0,0.0,2.0,4.0,-4.0,-5.0,-1.0,0.0,1650821302393839.0,0
57,0.0,1.0,-4.0,-3.0,-9.0,-8.0,-1.0,1.0,1650821302393839.0,0
58,-1.0,-2.0,1.0,2.0,3.0,6.0,-2.0,0.0,1650821302394771.0,0
59,-2.0,-4.0,0.0,-2.0,3.0,1.0,-2.0,-1.0,1650821302394771.0,0
60,1.0,-1.0,0.0,-1.0,1.0,-5.0,-2.0,-1.0,1650821302415959.0,0
61,-1.0,0.0,1.0,2.0,-1.0,0.0,1.0,-2.0,1650821302415959.0,0
62,0.0,-1.0,-3.0,-4.0,1.0,1.0,0.0,0.0,1650821302416924.0,0
63,1.0,0.0,-2.0,-4.0,-4.0,-2.0,0.0,-1.0,1650821302416924.0,0
64,-1.0,-1.0,0.0,0.0,-2.0,0.0,1.0,-3.0,1650821302438874.0,0
65,-1.0,0.0,0.0,1.0,1.0,-2.0,-1.0,0.0,1650821302438874.0,0
66,0.0,0.0,-1.0,-1.0,-6.0,-12.0,-3.0,-2.0,1650821302439874.0,0
67,-1.0,-1.0,-2.0,0.0,2.0,9.0,0.0,0.0,1650821302439874.0,0
68,-1.0,-1.0,-1.0,-1.0,8.0,13.0,2.0,2.0,1650821302453983.0,0
69,2.0,1.0,0.0,1.0,2.0,-1.0,0.0,-1.0,1650821302453983.0,0
70,-1.0,-1.0,0.0,-1.0,-5.0,-7.0,-1.0,-2.0,1650821302453983.0,0
71,-3.0,0.0,0.0,1.0,-5.0,-7.0,-3.0,0.0,1650821302453983.0,0
72,0.0,1.0,-4.0,-2.0,-1.0,1.0,-2.0,1.0,1650821302476146.0,0
73,-2.0,-1.0,1.0,2.0,2.0,0.0,1.0,-1.0,1650821302476146.0,0
74,-1.0,-1.0,-3.0,-5.0,-1.0,-3.0,-1.0,1.0,1650821302477077.0,0
75,0.0,-1.0,5.0,7.0,-1.0,-2.0,0.0,-1.0,1650821302477077.0,0
76,-1.0,-1.0,-1.0,-2.0,1.0,4.0,0.0,0.0,1650821302498287.0,0
77,-1.0,0.0,-4.0,-1.0,1.0,3.0,1.0,1.0,1650821302498287.0,0
78,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,0.0,1650821302499217.0,0
79,0.0,-2.0,2.0,3.0,-1.0,1.0,0.0,1.0,1650821302499217.0,0
80,-1.0,-1.0,-3.0,-2.0,-2.0,-3.0,-1.0,-1.0,1650821302514146.0,0
81,1.0,-2.0,-1.0,-2.0,-2.0,-1.0,0.0,-1.0,1650821302514146.0,0
82,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-2.0,1650821302514801.0,0
83,-1.0,0.0,0.0,-1.0,3.0,-4.0,-2.0,1.0,1650821302514801.0,0
84,0.0,1.0,-2.0,0.0,1.0,4.0,0.0,-2.0,1650821302535940.0,0
85,2.0,-1.0,-3.0,-2.0,-3.0,0.0,-2.0,-1.0,1650821302535940.0,0
86,0.0,-1.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,1650821302536870.0,0
87,-2.0,0.0,-1.0,0.0,-1.0,-6.0,-1.0,-1.0,1650821302536870.0,0
88,0.0,0.0,0.0,-3.0,-3.0,-7.0,-3.0,2.0,1650821302558043.0,0
89,0.0,-1.0,-5.0,-7.0,-3.0,1.0,1.0,-1.0,1650821302558043.0,0
