,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1651085691937653.0,0
1,0.0,-1.0,-1.0,-3.0,-4.0,-3.0,-2.0,-1.0,1651085691937653.0,0
2,-1.0,-2.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,1651085691937653.0,0
3,-1.0,-1.0,-1.0,0.0,5.0,3.0,3.0,0.0,1651085691937653.0,0
4,0.0,-2.0,0.0,0.0,2.0,1.0,0.0,0.0,1651085691951976.0,0
5,2.0,-2.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,1651085691951976.0,0
6,0.0,0.0,0.0,0.0,-2.0,-4.0,-2.0,-1.0,1651085691951976.0,0
7,1.0,0.0,0.0,-2.0,-5.0,-3.0,-2.0,-2.0,1651085691951976.0,0
8,-1.0,0.0,-3.0,-1.0,1.0,1.0,-2.0,-1.0,1651085691975241.0,0
9,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1651085691975241.0,0
10,-1.0,-1.0,-2.0,-4.0,-6.0,-2.0,-1.0,-1.0,1651085691975241.0,0
11,1.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,1651085691975241.0,0
12,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,1651085691998191.0,0
13,1.0,1.0,0.0,-1.0,-4.0,-3.0,-1.0,-1.0,1651085691998191.0,0
14,-1.0,-2.0,-2.0,-3.0,-2.0,-1.0,0.0,-2.0,1651085691998191.0,0
15,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,1651085691998191.0,0
16,-2.0,-1.0,1.0,1.0,2.0,0.0,-1.0,-1.0,1651085692011260.0,0
17,-2.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1651085692011260.0,0
18,0.0,-1.0,0.0,0.0,-3.0,-2.0,-1.0,0.0,1651085692012258.0,0
19,-1.0,-1.0,-2.0,-3.0,-3.0,-2.0,-3.0,-1.0,1651085692012258.0,0
20,0.0,-1.0,0.0,1.0,-2.0,-2.0,0.0,-1.0,1651085692033843.0,0
21,0.0,0.0,0.0,-1.0,1.0,2.0,-1.0,-1.0,1651085692033843.0,0
22,-1.0,-1.0,-3.0,-4.0,-1.0,2.0,0.0,-1.0,1651085692042535.0,0
23,-1.0,0.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,1651085692042535.0,0
24,2.0,1.0,0.0,1.0,-1.0,0.0,0.0,-2.0,1651085692058121.0,0
25,-3.0,-2.0,0.0,1.0,-2.0,0.0,-1.0,0.0,1651085692058121.0,0
26,0.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,0.0,1651085692059107.0,0
27,0.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1651085692059107.0,0
28,-1.0,-2.0,-4.0,-1.0,2.0,0.0,0.0,-1.0,1651085692080227.0,0
29,0.0,-1.0,-1.0,-1.0,-3.0,0.0,-1.0,-1.0,1651085692080227.0,0
30,1.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,1651085692081227.0,0
31,-1.0,1.0,0.0,0.0,-1.0,-2.0,1.0,-2.0,1651085692081227.0,0
32,0.0,-1.0,-1.0,0.0,-4.0,-1.0,-1.0,0.0,1651085692093233.0,0
33,-1.0,-1.0,0.0,2.0,4.0,1.0,-1.0,0.0,1651085692093233.0,0
34,-1.0,-1.0,-2.0,1.0,3.0,1.0,0.0,-2.0,1651085692102050.0,0
35,-2.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1651085692102050.0,0
36,-1.0,-2.0,1.0,0.0,-2.0,0.0,1.0,-1.0,1651085692117551.0,0
37,-1.0,-1.0,1.0,1.0,2.0,0.0,-2.0,-1.0,1651085692117551.0,0
38,0.0,0.0,-2.0,0.0,-3.0,-3.0,-1.0,-1.0,1651085692118552.0,0
39,0.0,-1.0,-1.0,1.0,-2.0,-2.0,-1.0,-1.0,1651085692118552.0,0
40,-3.0,-1.0,0.0,1.0,6.0,7.0,1.0,0.0,1651085692140502.0,0
41,1.0,0.0,-1.0,0.0,-2.0,-2.0,0.0,-1.0,1651085692140502.0,0
42,1.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,1651085692141744.0,0
43,0.0,-1.0,-3.0,-3.0,-1.0,-2.0,1.0,0.0,1651085692141744.0,0
44,-1.0,-1.0,3.0,-1.0,-2.0,1.0,-1.0,-1.0,1651085692153122.0,0
45,-1.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,-1.0,1651085692153122.0,0
46,-2.0,-2.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,1651085692162246.0,0
47,0.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1651085692162246.0,0
48,-2.0,-1.0,0.0,3.0,3.0,1.0,0.0,-3.0,1651085692178367.0,0
49,0.0,1.0,-2.0,1.0,1.0,1.0,-1.0,-1.0,1651085692178367.0,0
50,1.0,-1.0,-3.0,-3.0,-4.0,-3.0,0.0,-1.0,1651085692179242.0,0
51,-1.0,-1.0,-1.0,-2.0,-4.0,1.0,0.0,-2.0,1651085692179242.0,0
52,2.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,0.0,1651085692200394.0,0
53,-1.0,1.0,0.0,-1.0,-2.0,0.0,-3.0,-1.0,1651085692200394.0,0
54,0.0,0.0,1.0,2.0,0.0,2.0,0.0,-1.0,1651085692201247.0,0
55,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,1651085692201247.0,0
56,-1.0,2.0,-3.0,-2.0,-2.0,-3.0,-1.0,0.0,1651085692213391.0,0
57,-1.0,-3.0,-2.0,-3.0,-3.0,-1.0,-1.0,-1.0,1651085692213391.0,0
58,1.0,0.0,1.0,1.0,-2.0,-1.0,0.0,0.0,1651085692222519.0,0
59,-2.0,-3.0,-2.0,-5.0,-2.0,0.0,-1.0,1.0,1651085692222519.0,0
60,1.0,-1.0,-1.0,0.0,-2.0,-4.0,-2.0,0.0,1651085692237060.0,0
