,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-1.0,0.0,-6.0,-4.0,0.0,0.0,1.0,-1.0,1651087274412783.0,0
1,-1.0,-1.0,3.0,7.0,5.0,2.0,0.0,-1.0,1651087274412783.0,0
2,-2.0,0.0,3.0,1.0,3.0,-1.0,1.0,0.0,1651087274412783.0,0
3,0.0,-3.0,9.0,-1.0,-3.0,-1.0,-1.0,2.0,1651087274412783.0,0
4,-2.0,-1.0,-15.0,-8.0,-4.0,-2.0,1.0,-2.0,1651087274435248.0,0
5,0.0,-1.0,-6.0,-9.0,-12.0,-5.0,-3.0,-3.0,1651087274435248.0,0
6,0.0,1.0,2.0,7.0,9.0,3.0,1.0,-1.0,1651087274435248.0,0
7,-1.0,0.0,12.0,7.0,1.0,1.0,1.0,-2.0,1651087274435248.0,0
8,0.0,0.0,5.0,1.0,3.0,-1.0,0.0,0.0,1651087274451078.0,0
9,1.0,0.0,4.0,1.0,3.0,6.0,0.0,0.0,1651087274451078.0,0
10,-3.0,-5.0,-7.0,-4.0,-5.0,-3.0,0.0,-2.0,1651087274451078.0,0
11,1.0,0.0,-8.0,-9.0,-4.0,-4.0,-1.0,-2.0,1651087274451078.0,0
12,0.0,0.0,3.0,3.0,-4.0,-1.0,0.0,0.0,1651087274472620.0,0
13,-2.0,0.0,3.0,5.0,4.0,-4.0,0.0,-2.0,1651087274472620.0,0
14,0.0,4.0,4.0,-2.0,0.0,5.0,-1.0,0.0,1651087274472620.0,0
15,-3.0,-8.0,-5.0,-3.0,-4.0,-3.0,0.0,-1.0,1651087274472620.0,0
16,-1.0,-2.0,-10.0,0.0,2.0,-2.0,-2.0,0.0,1651087274494366.0,0
17,0.0,0.0,8.0,-2.0,2.0,3.0,1.0,1.0,1651087274494366.0,0
18,-1.0,-2.0,-9.0,-6.0,-8.0,-5.0,-1.0,-3.0,1651087274495214.0,0
19,0.0,-2.0,-16.0,-1.0,-4.0,-1.0,-3.0,-2.0,1651087274495214.0,0
20,0.0,3.0,7.0,7.0,7.0,1.0,-1.0,0.0,1651087274518495.0,0
21,0.0,-4.0,-12.0,-7.0,-4.0,-4.0,-2.0,1.0,1651087274518495.0,0
22,-1.0,-1.0,11.0,5.0,5.0,2.0,1.0,-1.0,1651087274518495.0,0
23,-1.0,1.0,-2.0,2.0,2.0,0.0,0.0,-1.0,1651087274518495.0,0
24,0.0,-1.0,-2.0,-2.0,-3.0,-1.0,-1.0,0.0,1651087274532234.0,0
25,0.0,1.0,-2.0,-7.0,-7.0,-1.0,-1.0,0.0,1651087274532234.0,0
26,0.0,-1.0,-6.0,-1.0,-4.0,-3.0,-1.0,1.0,1651087274532234.0,0
27,1.0,0.0,5.0,1.0,1.0,2.0,-1.0,-3.0,1651087274532234.0,0
28,-1.0,-3.0,-2.0,-1.0,2.0,0.0,-3.0,1.0,1651087274554624.0,0
29,-3.0,0.0,7.0,1.0,-4.0,0.0,0.0,0.0,1651087274554624.0,0
30,0.0,-3.0,-18.0,-15.0,-12.0,-7.0,-1.0,-2.0,1651087274554624.0,0
31,0.0,4.0,-10.0,2.0,7.0,2.0,1.0,1.0,1651087274554624.0,0
32,0.0,-3.0,8.0,0.0,-3.0,4.0,-1.0,-2.0,1651087274569650.0,0
33,0.0,1.0,0.0,2.0,5.0,-4.0,-3.0,-2.0,1651087274569650.0,0
34,2.0,0.0,3.0,1.0,6.0,6.0,1.0,1.0,1651087274569650.0,0
35,-2.0,-2.0,10.0,0.0,4.0,3.0,3.0,-1.0,1651087274569650.0,0
36,1.0,4.0,2.0,-1.0,-3.0,-2.0,-1.0,-1.0,1651087274592562.0,0
37,1.0,-4.0,-14.0,0.0,3.0,3.0,0.0,-1.0,1651087274592562.0,0
38,-2.0,-1.0,-3.0,-2.0,-7.0,-5.0,-1.0,0.0,1651087274592562.0,0
39,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1651087274592562.0,0
40,-1.0,-1.0,4.0,4.0,2.0,-2.0,0.0,0.0,1651087274614219.0,0
41,-1.0,-2.0,8.0,-1.0,-4.0,-3.0,-2.0,-1.0,1651087274614219.0,0
42,0.0,2.0,-3.0,1.0,3.0,2.0,-1.0,-1.0,1651087274615217.0,0
43,-1.0,-3.0,-9.0,-4.0,1.0,-1.0,0.0,0.0,1651087274615217.0,0
44,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-2.0,1651087274629208.0,0
45,-2.0,1.0,4.0,0.0,-1.0,0.0,0.0,0.0,1651087274629208.0,0
46,0.0,0.0,4.0,2.0,4.0,3.0,-1.0,1.0,1651087274630209.0,0
47,2.0,0.0,10.0,-1.0,-7.0,-6.0,-3.0,-2.0,1651087274630209.0,0
48,-1.0,-1.0,-9.0,0.0,-3.0,0.0,0.0,-1.0,1651087274652700.0,0
49,0.0,0.0,-11.0,-12.0,-8.0,-3.0,-1.0,-1.0,1651087274652700.0,0
50,-1.0,1.0,9.0,9.0,11.0,3.0,-1.0,-1.0,1651087274652700.0,0
51,0.0,0.0,10.0,7.0,4.0,-1.0,0.0,-1.0,1651087274652700.0,0
52,2.0,2.0,-11.0,-8.0,-4.0,-2.0,-2.0,0.0,1651087274674334.0,0
53,-2.0,-6.0,2.0,-4.0,-1.0,-2.0,-2.0,-2.0,1651087274674334.0,0
54,-1.0,-3.0,-5.0,-5.0,-9.0,-4.0,0.0,0.0,1651087274675194.0,0
55,0.0,0.0,-3.0,-2.0,2.0,0.0,-1.0,-1.0,1651087274675194.0,0
56,2.0,0.0,1.0,1.0,4.0,1.0,-1.0,-1.0,1651087274689685.0,0
57,-1.0,1.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1651087274689685.0,0
58,-2.0,-1.0,-1.0,-4.0,-1.0,-1.0,0.0,-1.0,1651087274689685.0,0
59,-2.0,-2.0,-1.0,4.0,0.0,0.0,2.0,0.0,1651087274689685.0,0
60,1.0,0.0,3.0,4.0,7.0,4.0,2.0,3.0,1651087274712183.0,0
61,0.0,1.0,-1.0,2.0,-2.0,-3.0,0.0,-1.0,1651087274712183.0,0
62,1.0,0.0,6.0,2.0,4.0,2.0,-1.0,-1.0,1651087274712183.0,0
63,-1.0,0.0,-10.0,-11.0,-10.0,-1.0,-1.0,1.0,1651087274712183.0,0
64,-2.0,-4.0,-7.0,-3.0,-2.0,-2.0,0.0,0.0,1651087274734201.0,0
65,2.0,3.0,6.0,9.0,3.0,-1.0,2.0,0.0,1651087274734201.0,0
66,0.0,3.0,6.0,-5.0,-2.0,-4.0,1.0,-1.0,1651087274735065.0,0
67,0.0,0.0,1.0,-4.0,-5.0,-4.0,-3.0,-1.0,1651087274735065.0,0
68,-2.0,-1.0,6.0,7.0,3.0,2.0,-1.0,0.0,1651087274748185.0,0
69,-1.0,-1.0,3.0,-1.0,3.0,4.0,-1.0,1.0,1651087274748185.0,0
70,-1.0,-2.0,-7.0,4.0,-4.0,-3.0,-3.0,-1.0,1651087274757298.0,0
71,-1.0,0.0,-4.0,-5.0,-5.0,-4.0,-2.0,1.0,1651087274757298.0,0
72,0.0,0.0,-10.0,-9.0,-5.0,-1.0,-2.0,-1.0,1651087274779545.0,0
