EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-1.0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,1651071214653112.0
-1.0,1.0,-1.0,-3.0,-2.0,4.0,3.0,0.0,1651071214653112.0
-1.0,-1.0,-2.0,2.0,-2.0,0.0,2.0,0.0,1651071214658098.0
-1.0,0.0,-1.0,-1.0,2.0,1.0,2.0,1.0,1651071214658098.0
-2.0,0.0,0.0,-1.0,-11.0,-4.0,1.0,0.0,1651071214659095.0
1.0,0.0,0.0,1.0,6.0,-2.0,-1.0,0.0,1651071214659095.0
2.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,1651071214661117.0
1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1651071214661117.0
2.0,0.0,0.0,-3.0,-7.0,1.0,-1.0,-1.0,1651071214671087.0
-2.0,-1.0,2.0,-1.0,-4.0,-5.0,-3.0,1.0,1651071214671087.0
0.0,1.0,-1.0,0.0,5.0,2.0,0.0,0.0,1651071214683168.0
1.0,1.0,1.0,-1.0,-2.0,-1.0,0.0,1.0,1651071214683168.0
1.0,1.0,-1.0,-2.0,5.0,2.0,0.0,-1.0,1651071214686125.0
1.0,0.0,0.0,-1.0,-4.0,-1.0,0.0,0.0,1651071214686125.0
-1.0,-1.0,0.0,-3.0,-2.0,0.0,0.0,0.0,1651071214710148.0
1.0,0.0,-1.0,0.0,-2.0,2.0,-1.0,0.0,1651071214710148.0
-1.0,0.0,-1.0,1.0,3.0,0.0,0.0,0.0,1651071214713138.0
-1.0,-1.0,-2.0,0.0,-6.0,-4.0,0.0,-1.0,1651071214713138.0
-1.0,-1.0,0.0,-2.0,3.0,2.0,-1.0,-2.0,1651071214725269.0
-1.0,-1.0,0.0,1.0,7.0,2.0,1.0,-1.0,1651071214725269.0
-1.0,-2.0,0.0,-2.0,1.0,0.0,-1.0,0.0,1651071214732212.0
-2.0,0.0,-2.0,1.0,4.0,2.0,-1.0,0.0,1651071214732212.0
-1.0,0.0,0.0,-4.0,-12.0,-5.0,-1.0,-1.0,1651071214746233.0
-2.0,0.0,-3.0,-2.0,-1.0,-2.0,-1.0,-1.0,1651071214746233.0
-1.0,-2.0,-2.0,2.0,11.0,1.0,1.0,0.0,1651071214787074.0
-2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1651071214787074.0
0.0,0.0,0.0,-1.0,-5.0,-1.0,-1.0,0.0,1651071214788065.0
0.0,0.0,0.0,-1.0,-1.0,-3.0,-1.0,-1.0,1651071214788065.0
0.0,1.0,0.0,0.0,-3.0,0.0,1.0,-1.0,1651071214789054.0
0.0,-1.0,1.0,-1.0,-3.0,0.0,-1.0,-1.0,1651071214789054.0
-1.0,-1.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,1651071214791068.0
