,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp,signal
0,-1,0,1,0,-5,-2,0,-2,1.65107E+15,0
1,0,0,-2,-1,1,-1,-1,-1,1.65107E+15,0
2,-1,-2,-3,0,0,-1,-2,-2,1.65107E+15,0
3,0,3,5,-2,-3,-1,-1,0,1.65107E+15,0
4,-2,-10,-11,1,-4,-5,-1,-3,1.65107E+15,0
5,0,-3,0,-2,2,6,0,0,1.65107E+15,0
6,1,2,1,-1,1,-2,1,1,1.65107E+15,0
7,0,-3,-1,0,1,1,0,0,1.65107E+15,0
8,0,3,1,-1,1,-1,1,-3,1.65107E+15,0
9,-2,-1,-1,-3,-7,-4,-2,-1,1.65107E+15,0
10,-1,-2,-5,0,-2,-1,-3,1,1.65107E+15,0
11,0,0,6,1,1,-1,-2,-2,1.65107E+15,0
12,1,2,4,1,0,1,-1,-1,1.65107E+15,0
13,0,0,-2,-3,-10,-3,-1,0,1.65107E+15,0
14,0,-1,0,1,16,2,-1,-5,1.65107E+15,0
15,-1,-1,-1,1,0,1,2,3,1.65107E+15,0
16,0,-3,-5,-2,-2,-2,0,0,1.65107E+15,0
17,0,3,4,1,-1,4,2,-1,1.65107E+15,0
18,-1,-4,-2,1,-4,0,1,-1,1.65107E+15,0
19,-1,0,1,0,0,-2,-1,-2,1.65107E+15,0
20,-3,0,0,0,-2,-2,-1,-2,1.65107E+15,0
21,-2,0,1,-1,0,-3,-1,0,1.65107E+15,0
22,0,0,1,-3,-1,-1,1,-1,1.65107E+15,0
23,-1,-3,-3,-3,-1,2,0,-1,1.65107E+15,0
24,0,1,4,-1,-2,2,0,0,1.65107E+15,0
25,0,-3,-2,3,2,-1,1,0,1.65107E+15,0
26,-2,0,1,0,0,1,0,0,1.65107E+15,0
27,0,-3,-6,0,1,-4,-1,-1,1.65107E+15,0
28,0,2,-2,0,1,3,0,0,1.65107E+15,0
29,0,0,5,-1,2,1,1,-1,1.65107E+15,0
30,1,-3,-2,-2,-2,0,-2,2,1.65107E+15,0
31,0,0,2,-1,-7,-5,-1,0,1.65107E+15,0
32,-2,-1,-2,0,2,2,1,0,1.65107E+15,0
33,-1,-2,-5,-1,0,-1,-2,1,1.65107E+15,0
34,1,2,0,0,-1,1,-2,1,1.65107E+15,0
35,0,-1,-2,-2,-1,-3,-3,-7,1.65107E+15,0
36,-1,0,2,-3,-11,-6,-1,2,1.65107E+15,0
37,-1,1,-2,0,4,-1,0,1,1.65107E+15,0
38,-1,-2,-7,3,7,7,3,2,1.65107E+15,0
39,-1,-1,0,0,4,0,1,-1,1.65107E+15,0
40,1,-1,0,0,5,1,0,-4,1.65107E+15,0
41,-1,0,4,-3,-9,-2,0,-1,1.65107E+15,0
42,-2,0,1,-3,-5,-3,-3,2,1.65107E+15,0
43,-1,0,0,1,-2,-1,-1,0,1.65107E+15,0
44,-2,0,0,-1,-4,-2,-2,-1,1.65107E+15,0
45,0,-1,-5,0,-2,-5,-2,-2,1.65107E+15,0
46,0,0,3,-3,-3,-3,-1,-2,1.65107E+15,0
47,0,-1,-4,0,2,5,0,1,1.65107E+15,0
48,-1,2,1,-2,-2,-1,-1,1,1.65107E+15,0
49,0,1,0,0,3,1,2,-1,1.65107E+15,0
50,-1,0,1,-1,2,-4,-1,0,1.65107E+15,0
51,1,1,0,-1,-3,-2,0,0,1.65107E+15,0
52,-1,-3,-2,-1,-1,1,0,0,1.65107E+15,0
53,-1,-1,3,-1,-4,-1,-1,0,1.65107E+15,0
54,-1,-5,-7,-3,1,-1,-2,-3,1.65107E+15,0
55,-1,-1,-4,0,3,-1,-3,7,1.65107E+15,0
56,0,0,2,0,2,0,-1,-2,1.65107E+15,0
57,-1,1,0,2,1,0,0,0,1.65107E+15,0
58,-1,0,4,0,-3,0,0,-2,1.65107E+15,0
59,-1,0,-1,0,-1,0,1,-1,1.65107E+15,0
60,1,1,-3,-1,-4,-4,-1,1,1.65107E+15,0
61,0,-5,-7,0,6,0,-1,-2,1.65107E+15,0
62,1,2,2,1,1,5,2,0,1.65107E+15,0
63,1,1,-1,0,0,-1,-2,-2,1.65107E+15,0
64,-1,-1,2,-2,-3,0,-2,-2,1.65107E+15,0
65,0,-2,-1,0,-1,-3,-2,-2,1.65107E+15,0
66,-1,-1,0,1,1,-2,0,0,1.65107E+15,0
67,-1,-1,1,-1,-3,0,0,0,1.65107E+15,0
68,2,1,1,-1,-3,-1,1,-2,1.65107E+15,0
69,-1,-1,1,-5,-20,-8,-3,2,1.65107E+15,0
70,0,-3,-3,2,27,6,0,1,1.65107E+15,0
71,0,1,1,2,7,9,3,1,1.65107E+15,0
72,-1,-2,-4,1,0,-1,-1,1,1.65107E+15,0
73,-1,-1,-1,1,-3,1,0,-1,1.65107E+15,0
74,0,0,2,-2,-19,-9,-4,7,1.65107E+15,0
75,-4,-1,-1,-4,-2,-3,-1,-2,1.65107E+15,0
76,-1,0,2,1,3,2,0,0,1.65107E+15,0
77,-1,0,1,1,7,-1,0,-2,1.65107E+15,0
78,1,2,-1,-2,-8,-1,-1,-1,1.65107E+15,0
79,-2,-7,-5,-2,1,-3,1,0,1.65107E+15,0
80,1,-2,-1,1,2,2,-1,-1,1.65107E+15,0
81,0,0,7,3,5,2,0,0,1.65107E+15,0
82,0,1,3,2,-1,-1,1,0,1.65107E+15,0
83,0,2,3,0,-7,-2,0,-1,1.65107E+15,0
84,-2,-2,-4,-3,-4,-4,-1,-1,1.65107E+15,0
85,0,3,0,-3,5,2,1,-1,1.65107E+15,0
86,-2,-7,-8,-1,-6,-2,-1,-1,1.65107E+15,0
87,1,0,-3,0,-2,0,-1,-1,1.65107E+15,0
88,-1,0,-1,0,5,-1,0,1,1.65107E+15,0
89,0,1,-2,1,5,0,-1,1,1.65107E+15,0
90,-1,1,0,-3,-3,-2,1,-1,1.65107E+15,0
91,0,-3,0,-2,-2,-3,-3,0,1.65107E+15,0
92,-2,-2,1,0,0,1,-2,-9,1.65107E+15,0
93,0,-2,-2,-1,-4,-2,-1,8,1.65107E+15,0
94,1,-1,-4,-4,-2,-3,0,-1,1.65107E+15,0
95,-1,2,2,4,7,1,0,1,1.65107E+15,0
96,-1,-2,1,-2,0,4,1,2,1.65107E+15,0
97,0,-2,-1,-1,-4,-1,0,-5,1.65107E+15,0
98,-1,1,-2,-1,-7,-2,-1,-2,1.65107E+15,0
99,-1,1,3,-1,-8,-5,-3,0,1.65107E+15,0
100,-2,-3,-3,-2,-3,-2,0,1,1.65107E+15,0
101,-2,-6,-12,-3,13,4,0,0,1.65107E+15,0
102,0,2,9,6,10,5,1,2,1.65107E+15,0
103,1,-2,-2,0,-1,1,3,-2,1.65107E+15,0
104,-1,1,-1,-1,-7,-4,0,0,1.65107E+15,0
105,0,-1,-2,-2,-5,-4,-2,0,1.65107E+15,0
106,1,1,-1,-1,2,0,-2,-1,1.65107E+15,0
107,-2,-5,-6,-3,-6,-2,0,-2,1.65107E+15,0
108,1,1,0,2,1,-1,0,2,1.65107E+15,0
109,0,0,-3,-1,-1,1,-1,-2,1.65107E+15,0
110,0,2,0,-1,3,1,0,0,1.65107E+15,0
111,1,0,2,1,1,0,-1,-2,1.65107E+15,0
112,0,-1,-3,-1,-3,-1,1,1,1.65107E+15,0
113,1,1,4,1,1,1,1,-2,1.65107E+15,0
114,-1,-1,-3,-1,-4,-3,-3,-2,1.65107E+15,0
115,-1,-1,0,-4,-6,-2,-2,0,1.65107E+15,0
116,1,2,5,1,1,-1,-1,5,1.65107E+15,0
117,0,0,-1,2,7,4,2,-2,1.65107E+15,0
118,-1,0,7,2,1,0,0,1,1.65107E+15,0
119,1,-2,-2,-2,3,0,2,-3,1.65107E+15,0
120,0,0,1,0,-4,-2,-3,-2,1.65107E+15,0
121,0,0,2,0,-9,-4,-1,0,1.65107E+15,0
122,-1,-2,-5,-3,-5,-2,1,-3,1.65107E+15,0
123,-1,-2,-1,-1,-2,0,-1,1,1.65107E+15,0
124,0,2,0,3,10,6,1,-1,1.65107E+15,0
125,-1,-3,-2,-2,0,0,-1,0,1.65107E+15,0
126,0,-2,1,-1,3,1,-1,0,1.65107E+15,0
127,-1,-1,1,-1,-3,-2,-2,-2,1.65107E+15,0
128,-1,-3,-3,-5,-2,-3,1,-1,1.65107E+15,0
129,0,-1,-2,-2,-1,-1,-1,-2,1.65107E+15,0
130,0,-3,-1,0,-3,-1,-2,-2,1.65107E+15,0
131,1,5,-2,-5,-8,-6,-2,-1,1.65107E+15,0
